"ID Caso","Código DANE de Municipio","Municipio","Departamento","Año","Mes","Día","ID Persona","Sexo","Etnia","Ocupación","Calidad de la Víctima o la Baja","Tipo de Población Vulnerable","Militante Político","Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente","Descripción Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente","Situación Actual de la Víctima","Fuente de Información de la Desaparición","Edad","latitud-longitud"
"1,012,560","76364","JAMUNDI","VALLE DEL CAUCA","2,010","1","17","1,022,995","SIN INFORMACION",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-76.62760418 3.213892389)"
"1,012,561","86001","MOCOA","PUTUMAYO","2,007","10","11","1,022,996","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-76.66584349 1.26070915)"
"1,012,564","76001","SANTIAGO DE CALI","VALLE DEL CAUCA","1,991","5","22","1,023,002","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"PERSONA MAYOR (60 AÑOS O MAS)","POINT (-76.57649259 3.399043723)"
"1,012,565","23807","TIERRALTA","CORDOBA","2,024","4","0","1,023,003","MUJER","INDÍGENA","OTRA","CIVIL","LÍDER INDÍGENA",,,,"APARECIÓ MUERTO",,"JUVENTUD (18-28 AÑOS)","POINT (-76.16846678 7.813896829)"
"1,012,577","76001","SANTIAGO DE CALI","VALLE DEL CAUCA","2,005","7","13","1,023,021","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-76.57649259 3.399043723)"
"1,012,579","76100","BOLIVAR","VALLE DEL CAUCA","2,001","2","26","1,023,022","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-76.34982039 4.393118861)"
"1,012,579","76100","BOLIVAR","VALLE DEL CAUCA","2,001","2","26","1,023,023","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,,"POINT (-76.34982039 4.393118861)"
"101,616","25885","YACOPI","CUNDINAMARCA","1,993","3","9","71,898","HOMBRE",,"CAMPESINO","CIVIL",,,,,"APARECIÓ MUERTO","FAMILIARES O COMUNIDAD",,"POINT (-74.33802435 5.459290341)"
"101,616","25885","YACOPI","CUNDINAMARCA","1,993","3","9","71,900","HOMBRE",,"CAMPESINO","CIVIL",,,,,"APARECIÓ MUERTO","FAMILIARES O COMUNIDAD","ADOLESCENCIA (12-17 AÑOS)","POINT (-74.33802435 5.459290341)"
"102,204","27099","BOJAYA","CHOCO","1,997","6","8","80,824","HOMBRE",,"OBRERO","CIVIL",,"UNIÓN PATRIÓTICA",,,"APARECIÓ MUERTO","ENTIDAD PÚBLICA",,"POINT (-77.09933025 6.474666885)"
"1,022,549","76001","SANTIAGO DE CALI","VALLE DEL CAUCA","2,016","11","21","1,032,984","HOMBRE",,"CONDUCTOR/MOTORISTA","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-76.57649259 3.399043723)"
"1,022,550","76001","SANTIAGO DE CALI","VALLE DEL CAUCA","2,004","11","23","1,032,985","MUJER",,"COMERCIANTE","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-76.57649259 3.399043723)"
"1,022,551","76001","SANTIAGO DE CALI","VALLE DEL CAUCA","2,014","7","26","1,032,986","HOMBRE",,"CONDUCTOR/MOTORISTA","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-76.57649259 3.399043723)"
"1,022,552","76001","SANTIAGO DE CALI","VALLE DEL CAUCA","2,014","3","18","1,032,987","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-76.57649259 3.399043723)"
"1,022,553","76001","SANTIAGO DE CALI","VALLE DEL CAUCA","1,992","12","21","1,032,988","HOMBRE",,"EMPRESARIO - INDUSTRIAL","CIVIL",,,,,"APARECIÓ MUERTO",,"JUVENTUD (18-28 AÑOS)","POINT (-76.57649259 3.399043723)"
"1,022,553","76001","SANTIAGO DE CALI","VALLE DEL CAUCA","1,992","12","21","1,032,989","HOMBRE",,"EMPLEADO","CIVIL",,,,,"DESAPARECIDO",,,"POINT (-76.57649259 3.399043723)"
"1,022,555","76001","SANTIAGO DE CALI","VALLE DEL CAUCA","2,013","12","18","1,032,990","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-76.57649259 3.399043723)"
"1,022,558","76001","SANTIAGO DE CALI","VALLE DEL CAUCA","2,000","5","21","1,032,994","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-76.57649259 3.399043723)"
"1,022,560","76001","SANTIAGO DE CALI","VALLE DEL CAUCA","2,016","11","12","1,032,997","MUJER",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-76.57649259 3.399043723)"
"1,022,563","41524","PALERMO","HUILA","2,012","10","27","1,033,000","HOMBRE",,"FUERZA PÚBLICA","COMBATIENTE",,,"AGENTE DEL ESTADO","EJÉRCITO NACIONAL","DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-75.44066118 2.914491967)"
"1,022,566","23855","VALENCIA","CORDOBA","1,998","2","25","1,033,004","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-76.2213286 8.219904128)"
"1,022,670","44090","DIBULLA","LA GUAJIRA","2,024","8","7","1,033,146","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"MUERTO EN CAUTIVERIO","ONG","JUVENTUD (18-28 AÑOS)","POINT (-73.43568788 11.09029715)"
"1,022,676","19142","CALOTO","CAUCA","2,024","8","8","1,033,153","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"ADOLESCENCIA (12-17 AÑOS)","POINT (-76.35354503 3.0650044)"
